x [mm],y [mm],z [mm],B [T]
0,0,0,-0.01507
0,2,0,-0.01584
0,4,0,-0.01621
0,6,0,-0.01619
0,8,0,-0.01574
0,10,0,-0.01491
0,12,0,-0.01372
2,0,0,-0.01778
2,2,0,-0.01852
2,4,0,-0.01902
2,6,0,-0.01901
2,8,0,-0.01846
2,10,0,-0.01743
2,12,0,-0.01596
4,0,0,-0.02079
4,2,0,-0.02175
4,4,0,-0.0224
4,6,0,-0.0224
4,8,0,-0.02174
4,10,0,-0.02046
4,12,0,-0.01862
6,0,0,-0.02437
6,2,0,-0.02569
6,4,0,-0.02656
6,6,0,-0.02658
6,8,0,-0.02576
6,10,0,-0.02414
6,12,0,-0.02182
8,0,0,-0.0243
8,2,0,-0.0257
8,4,0,-0.02656
8,6,0,-0.02658
8,8,0,-0.02576
8,10,0,-0.02414
8,12,0,-0.02182
10,0,0,-0.0342
10,2,0,-0.0366
10,4,0,-0.0382
10,6,0,-0.0383
10,8,0,-0.037
10,10,0,-0.0343
10,12,0,-0.0304
12,0,0,-0.0407
12,2,0,-0.044
12,4,0,-0.0462
12,6,0,-0.0465
12,8,0,-0.0448
12,10,0,-0.0412
12,12,0,-0.0362
14,0,0,-0.0497
14,2,0,-0.0534
14,4,0,-0.0565
14,6,0,-0.057
14,8,0,-0.0547
14,10,0,-0.05
14,12,0,-0.0432
16,0,0,-0.059
16,2,0,-0.0655
16,4,0,-0.07
16,6,0,-0.0708
16,8,0,-0.0677
16,10,0,-0.0612
16,12,0,-0.0519
18,0,0,-0.073
18,2,0,-0.0812
18,4,0,-0.0876
18,6,0,-0.0889
18,8,0,-0.0848
18,10,0,-0.0757
18,12,0,-0.0627
20,0,0,-0.0888
20,2,0,-0.102
20,4,0,-0.1114
20,6,0,-0.1134
20,8,0,-0.1077
20,10,0,-0.095
20,12,0,-0.0765
22,0,0,-0.1093
22,2,0,-0.1302
22,4,0,-0.144
22,6,0,-0.1469
22,8,0,-0.139
22,10,0,-0.121
22,12,0,-0.0943
24,0,0,-0.1412
24,2,0,-0.17
24,4,0,-0.1895
24,6,0,-0.1931
24,8,0,-0.1822
24,10,0,-0.1574
24,12,0,-0.1186
26,0,0,-0.1981
26,2,0,-0.2296
26,4,0,-0.254
26,6,0,-0.2565
26,8,0,-0.2424
26,10,0,-0.2108
26,12,0,-0.1555
28,0,0,-0.263
28,2,0,-0.326
28,4,0,-0.344
28,6,0,-0.34
28,8,0,-0.324
28,10,0,-0.293
28,12,0,-0.225
30,0,0,-0.477
30,2,0,-0.48
30,4,0,-0.458
30,6,0,-0.439
30,8,0,-0.423
30,10,0,-0.409
30,12,0,-0.38
32,0,0,-0.474
32,2,0,-0.48
32,4,0,-0.459
32,6,0,-0.439
32,8,0,-0.424
32,10,0,-0.409
32,12,0,-0.381
34,0,0,-0.852
34,2,0,-0.749
34,4,0,-0.67
34,6,0,-0.63
34,8,0,-0.621
34,10,0,-0.646
34,12,0,-0.714
36,0,0,-0.896
36,2,0,-0.808
36,4,0,-0.739
36,6,0,-0.702
36,8,0,-0.695
36,10,0,-0.722
36,12,0,-0.783
38,0,0,-0.911
38,2,0,-0.846
38,4,0,-0.787
38,6,0,-0.755
38,8,0,-0.751
38,10,0,-0.775
38,12,0,-0.828
40,0,0,-0.934
40,2,0,-0.872
40,4,0,-0.822
40,6,0,-0.794
40,8,0,-0.791
40,10,0,-0.813
40,12,0,-0.859
42,0,0,-0.941
42,2,0,-0.892
42,4,0,-0.847
42,6,0,-0.822
42,8,0,-0.82
42,10,0,-0.84
42,12,0,-0.882
44,0,0,-0.954
44,2,0,-0.906
44,4,0,-0.865
44,6,0,-0.843
44,8,0,-0.841
44,10,0,-0.861
44,12,0,-0.9
46,0,0,-0.958
46,2,0,-0.917
46,4,0,-0.879
46,6,0,-0.859
46,8,0,-0.857
46,10,0,-0.876
46,12,0,-0.913
48,0,0,-0.965
48,2,0,-0.925
48,4,0,-0.889
48,6,0,-0.87
48,8,0,-0.87
48,10,0,-0.888
48,12,0,-0.924
50,0,0,-0.976
50,2,0,-0.932
50,4,0,-0.897
50,6,0,-0.879
50,8,0,-0.879
50,10,0,-0.897
